uniprot_id	gene_name	protein_name	organism	length	uniparc_id	uniprot_status	sequence_version	source_of_contamination
P17697	CLU	Clusterin (Glycoprotein III) (GpIII) [Cleaved into: Clusterin beta chain; Clusterin alpha chain]	Bos taurus (Bovine)	439	UPI0000127BA3	reviewed	1	Residue cell medium containing FBS
P28800	SERPINF2	Alpha-2-antiplasmin (Alpha-2-AP) (Alpha-2-plasmin inhibitor) (Alpha-2-PI) (Serpin F2)	Bos taurus (Bovine)	492	UPI000012500E	reviewed	2	Residue cell medium containing FBS
P35445	COMP	Cartilage oligomeric matrix protein (COMP)	Bos taurus (Bovine)	756	UPI0000F6E729	reviewed	2	Residue cell medium containing FBS
P41361	SERPINC1	Antithrombin-III (ATIII) (Serpin C1)	Bos taurus (Bovine)	465	UPI0000D89868	reviewed	2	Residue cell medium containing FBS
P50448		Factor XIIa inhibitor (XIIaINH)	Bos taurus (Bovine)	468	UPI000012A3C4	reviewed	1	Residue cell medium containing FBS
P56652	ITIH3	Inter-alpha-trypsin inhibitor heavy chain H3 (ITI heavy chain H3) (ITI-HC3) (Inter-alpha-inhibitor heavy chain 3)	Bos taurus (Bovine)	891	UPI00005BF99B	reviewed	2	Residue cell medium containing FBS
P81644	APOA2	Apolipoprotein A-II (Apo-AII) (ApoA-II) (Antimicrobial peptide BAMP-1) (Apolipoprotein A2) [Cleaved into: Proapolipoprotein A-II (ProapoA-II); Truncated apolipoprotein A-II (Apolipoprotein A-II(1-76))]	Bos taurus (Bovine)	100	UPI00005BBF4A	reviewed	2	Residue cell medium containing FBS
Q03247	APOE	Apolipoprotein E (Apo-E)	Bos taurus (Bovine)	316	UPI0000125C4D	reviewed	1	Residue cell medium containing FBS
Q05443	LUM	Lumican (Corneal keratan sulfate proteoglycan 37B core protein) (Keratan sulfate proteoglycan) (KSPG)	Bos taurus (Bovine)	342	UPI000012E9AD	reviewed	1	Residue cell medium containing FBS
Q28065	C4BPA	C4b-binding protein alpha chain (C4bp)	Bos taurus (Bovine)	610	UPI0000126C27	reviewed	1	Residue cell medium containing FBS
Q28085	CFH	Complement factor H (H factor 1)	Bos taurus (Bovine)	1236	UPI00005B641D	reviewed	3	Residue cell medium containing FBS
Q28107	F5	Coagulation factor V (Activated protein C cofactor) [Cleaved into: Coagulation factor V heavy chain; Coagulation factor V light chain]	Bos taurus (Bovine)	2211	UPI000012A40F	reviewed	1	Residue cell medium containing FBS
Q29RQ1	C7	Complement component C7	Bos taurus (Bovine)	843	UPI00006C6A3F	reviewed	1	Residue cell medium containing FBS
Q2KIG3	CPB2	Carboxypeptidase B2 (EC 3.4.17.20) (Carboxypeptidase U) (CPU) (Plasma carboxypeptidase B) (pCPB) (Thrombin-activable fibrinolysis inhibitor) (TAFI)	Bos taurus (Bovine)	423	UPI00005BDD34	reviewed	1	Residue cell medium containing FBS
Q2KIS7	CLEC3B	Tetranectin (TN) (C-type lectin domain family 3 member B)	Bos taurus (Bovine)	202	UPI00004EF06B	reviewed	1	Residue cell medium containing FBS
Q2KIU3		Protein HP-25 homolog 2	Bos taurus (Bovine)	215	UPI00004F1C7F	reviewed	1	Residue cell medium containing FBS
Q2KJF1	A1BG	Alpha-1B-glycoprotein (Alpha-1-B glycoprotein)	Bos taurus (Bovine)	503	UPI00005C1194	reviewed	1	Residue cell medium containing FBS
Q32PJ2	APOA4	Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4)	Bos taurus (Bovine)	380	UPI00005DC405	reviewed	1	Residue cell medium containing FBS
Q3MHN2	C9	Complement component C9	Bos taurus (Bovine)	548	UPI00005B63E3	reviewed	1	Residue cell medium containing FBS
Q3MHN5	GC	Vitamin D-binding protein (DBP) (VDB) (Gc-globulin) (Group-specific component)	Bos taurus (Bovine)	474	UPI00005B63E1	reviewed	1	Residue cell medium containing FBS
Q3SX14	GSN	Gelsolin (Actin-depolymerizing factor) (ADF) (Brevin)	Bos taurus (Bovine)	731	UPI00005B6388	reviewed	1	Residue cell medium containing FBS
Q3T052	ITIH4	Inter-alpha-trypsin inhibitor heavy chain H4 (ITI heavy chain H4) (ITI-HC4) (Inter-alpha-inhibitor heavy chain 4)	Bos taurus (Bovine)	916	UPI00005B2A18	reviewed	1	Residue cell medium containing FBS
Q3Y5Z3	ADIPOQ	Adiponectin (30 kDa adipocyte complement-related protein) (Adipocyte complement-related 30 kDa protein) (ACRP30) (Adipocyte, C1q and collagen domain-containing protein) (Adipose most abundant gene transcript 1 protein) (apM-1)	Bos taurus (Bovine)	240	UPI000057D10C	reviewed	1	Residue cell medium containing FBS
Q58D62	FETUB	Fetuin-B	Bos taurus (Bovine)	387	UPI00004ED387	reviewed	1	Residue cell medium containing FBS
Q95121	SERPINF1	Pigment epithelium-derived factor (PEDF) (Serpin F1)	Bos taurus (Bovine)	416	UPI000013156F	reviewed	1	Residue cell medium containing FBS
Q95M17	CHIA	Acidic mammalian chitinase (AMCase) (EC 3.2.1.14) (Chitin-binding protein b04) (CBPb04)	Bos taurus (Bovine)	472	UPI000008789B	reviewed	1	Residue cell medium containing FBS
Q9N2I2	SERPINA5	Plasma serine protease inhibitor (Protein C inhibitor) (PCI) (Serpin A5)	Bos taurus (Bovine)	404	UPI0000088A72	reviewed	1	Residue cell medium containing FBS
Q9TT36	SERPINA7	Thyroxine-binding globulin (Serpin A7) (T4-binding globulin)	Bos taurus (Bovine)	411	UPI0000136D2D	reviewed	1	Residue cell medium containing FBS
Q9TTE1	SERPINA3-1	Serpin A3-1 (Endopin-1A) (Muscle endopin-1A) (mEndopin-1A)	Bos taurus (Bovine)	411	UPI000061417E	reviewed	3	Residue cell medium containing FBS
A0A3Q1M032		Ig-like domain-containing protein	Bos taurus (Bovine)	369	UPI000FC47269	unreviewed	1	Residue cell medium containing FBS
A0A3Q1MJB2	FBLN1	Fibulin-1	Bos taurus (Bovine)	706	UPI00022647A6	unreviewed	1	Residue cell medium containing FBS
A5PJ69	SERPINA10	SERPINA10 protein (Serpin family A member 10)	Bos taurus (Bovine)	452	UPI00005BF6DB	unreviewed	1	Residue cell medium containing FBS
E1BCW0	HGFAC	HGF activator	Bos taurus (Bovine)	651	UPI00020E719A	unreviewed	3	Residue cell medium containing FBS
E1BJK2	TUBB1	Tubulin beta chain	Bos taurus (Bovine)	450	UPI00006153F9	unreviewed	1	Residue cell medium containing FBS
G3N188		Ig-like domain-containing protein	Bos taurus (Bovine)	218	UPI000FC4B3E5	unreviewed	2	Residue cell medium containing FBS
G5E513		Ig-like domain-containing protein	Bos taurus (Bovine)	439	UPI000FC4FA4E	unreviewed	2	Residue cell medium containing FBS
Q1A7A4		Complement component C5a	Bos taurus (Bovine)	74	UPI0000D7EF7A	unreviewed	1	Residue cell medium containing FBS
Q1RMN8	IGL@	Immunoglobulin light chain, lambda gene cluster	Bos taurus (Bovine)	234	UPI0000D5B883	unreviewed	1	Residue cell medium containing FBS
Q2KIF2	LRG1	Leucine-rich alpha-2-glycoprotein 1	Bos taurus (Bovine)	346	UPI00005838AE	unreviewed	1	Residue cell medium containing FBS
Q2KIH2	APON	ApoN protein (Apolipoprotein N)	Bos taurus (Bovine)	254	UPI0000693E2F	unreviewed	1	Residue cell medium containing FBS
Q2KIT0		Protein HP-20 homolog	Bos taurus (Bovine)	191	UPI00005BCA22	reviewed	1	Residue cell medium containing FBS
Q2KJ83	CPN1	Carboxypeptidase N catalytic chain (CPN) (EC 3.4.17.3) (Carboxypeptidase N polypeptide 1) (Carboxypeptidase N small subunit)	Bos taurus (Bovine)	462	UPI0000695E1D	reviewed	1	Residue cell medium containing FBS
Q2KJC7	POSTN	Periostin (Periostin variant 7) (Periostin, osteoblast specific factor)	Bos taurus (Bovine)	779	UPI0000695E02	unreviewed	1	Residue cell medium containing FBS
Q2TBQ1	F13B	Coagulation factor XIII B chain (Coagulation factor XIII, B polypeptide)	Bos taurus (Bovine)	661	UPI00006749F6	unreviewed	1	Residue cell medium containing FBS
Q32PI4	CFI	Complement factor I	Bos taurus (Bovine)	618	UPI00005E2D93	unreviewed	1	Residue cell medium containing FBS
Q3MHH8	AMY2A	Alpha-amylase (EC 3.2.1.1)	Bos taurus (Bovine)	511	UPI00005B6408	unreviewed	1	Residue cell medium containing FBS
Q3ZBS7	VTN	Vitronectin	Bos taurus (Bovine)	476	UPI0000599481	unreviewed	1	Residue cell medium containing FBS
Q6T181	SHBG	Sex hormone-binding globulin	Bos taurus (Bovine)	99	UPI000021FA33	unreviewed	1	Residue cell medium containing FBS
P02769	ALB	Albumin (BSA) (allergen Bos d 6)	Bos taurus (Bovine)	607	UPI000004ECF8	reviewed	4	Residue cell medium containing FBS; Affinity beads background
Q3SZR3	ORM1	Alpha-1-acid glycoprotein (Orosomucoid) (OMD)	Bos taurus (Bovine)	202	UPI00005B2A2F	reviewed	1	Residue cell medium containing FBS; Affinity beads background
P34955	SERPINA1	Alpha-1-antiproteinase (Alpha-1-antitrypsin) (Alpha-1-proteinase inhibitor) (Serpin A1)	Bos taurus (Bovine)	416	UPI0000124FD5	reviewed	1	Residue cell medium containing FBS; Affinity beads background
P12763	AHSG	Alpha-2-HS-glycoprotein (Asialofetuin) (Fetuin-A)	Bos taurus (Bovine)	359	UPI0000125015	reviewed	2	Residue cell medium containing FBS; Affinity beads background
Q7SIH1	A2M	Alpha-2-macroglobulin (Alpha-2-M)	Bos taurus (Bovine)	1510	UPI00015D6FAB	reviewed	2	Residue cell medium containing FBS; Affinity beads background
Q3SZ57	AFP	Alpha-fetoprotein (Alpha-1-fetoprotein) (Alpha-fetoglobulin)	Bos taurus (Bovine)	610	UPI00005B2A7C	reviewed	1	Residue cell medium containing FBS; Affinity beads background
P00711	LALBA	Alpha-lactalbumin (Lactose synthase B protein) (allergen Bos d 4)	Bos taurus (Bovine)	142	UPI000012E267	reviewed	2	Residue cell medium containing FBS; Affinity beads background
P02662	CSN1S1	Alpha-S1-casein (allergen Bos d 8) [Cleaved into: Antioxidant peptide]	Bos taurus (Bovine)	214	UPI0000126FC7	reviewed	2	Residue cell medium containing FBS; Affinity beads background
P02663	CSN1S2	Alpha-S2-casein [Cleaved into: Casocidin-1 (Casocidin-I)]	Bos taurus (Bovine)	222	UPI000004702E	reviewed	2	Residue cell medium containing FBS; Affinity beads background
Q29463		Anionic trypsin (EC 3.4.21.4)	Bos taurus (Bovine)	247	UPI00001376E2	reviewed	1	Residue cell medium containing FBS; Affinity beads background
P15497	APOA1	Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I]	Bos taurus (Bovine)	265	UPI0000125BD5	reviewed	3	Residue cell medium containing FBS; Affinity beads background
P02666	CSN2	Beta-casein [Cleaved into: Casoparan; Antioxidant peptide; Casohypotensin]	Bos taurus (Bovine)	224	UPI0000126FD7	reviewed	2	Residue cell medium containing FBS; Affinity beads background
P02754	LGB	Beta-lactoglobulin (Beta-LG) (allergen Bos d 5)	Bos taurus (Bovine)	178	UPI000012E1C7	reviewed	3	Residue cell medium containing FBS; Affinity beads background
P00921	CA2	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase II) (CA-II) (Cyanamide hydratase CA2) (EC 4.2.1.69)	Bos taurus (Bovine)	260	UPI0000185BA1	reviewed	3	Residue cell medium containing FBS; Affinity beads background
P00760	PRSS1	Serine protease 1 (EC 3.4.21.4) (Anionic trypsin I) (Anionic trypsin-I) (Beta-trypsin) (Cationic trypsin) (Pretrypsinogen I) (Trypsin I) (Trypsin-I) [Cleaved into: Alpha-trypsin chain 1; Alpha-trypsin chain 2]	Bos taurus (Bovine)	246	UPI00004F489A	reviewed	3	Residue cell medium containing FBS; Affinity beads background
P00766		Chymotrypsinogen A (EC 3.4.21.1) [Cleaved into: Chymotrypsin A chain A; Chymotrypsin A chain B; Chymotrypsin A chain C]	Bos taurus (Bovine)	245	UPI000011047C	reviewed	1	Residue cell medium containing FBS; Affinity beads background
P00767		Chymotrypsinogen B (EC 3.4.21.1) [Cleaved into: Chymotrypsin B chain A; Chymotrypsin B chain B; Chymotrypsin B chain C]	Bos taurus (Bovine)	245	UPI0000128665	reviewed	1	Residue cell medium containing FBS; Affinity beads background
P04258	COL3A1	Collagen alpha-1(III) chain	Bos taurus (Bovine)	1049	UPI0000126D18	reviewed	1	Residue cell medium containing FBS; Affinity beads background
Q2UVX4	C3	Complement C3 [Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; C3-beta-c (C3bc); Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2]	Bos taurus (Bovine)	1661	UPI00005BCEC0	reviewed	2	Residue cell medium containing FBS; Affinity beads background
P01030	C4	Complement C4 [Cleaved into: Complement C4 alpha chain; C4a anaphylatoxin; Complement C4 gamma chain]	Bos taurus (Bovine)	920	UPI0000127C50	reviewed	2	Residue cell medium containing FBS; Affinity beads background
P62894	CYCS	Cytochrome c	Bos taurus (Bovine)	105	UPI0000500134	reviewed	2	Residue cell medium containing FBS; Affinity beads background
Q3ZBD7	GPI	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	Bos taurus (Bovine)	557	UPI000058331D	reviewed	4	Residue cell medium containing FBS; Affinity beads background
P00366	GLUD1	Glutamate dehydrogenase 1, mitochondrial (GDH 1) (EC 1.4.1.3)	Bos taurus (Bovine)	558	UPI000042AB46	reviewed	2	Residue cell medium containing FBS; Affinity beads background
Q3SZV7	HPX	Hemopexin	Bos taurus (Bovine)	459	UPI00004F4B24	reviewed	1	Residue cell medium containing FBS; Affinity beads background
Q05B55	IGK	IGK protein	Bos taurus (Bovine)	240	UPI0000E446A3	unreviewed	1	Residue cell medium containing FBS; Affinity beads background
Q0VCM5	ITIH1	Inter-alpha-trypsin inhibitor heavy chain H1 (ITI heavy chain H1) (ITI-HC1) (Inter-alpha-inhibitor heavy chain 1)	Bos taurus (Bovine)	906	UPI0000DBDCBA	reviewed	1	Residue cell medium containing FBS; Affinity beads background
P02668	CSN3	Kappa-casein [Cleaved into: Casoxin-C; Casoxin-6; Casoxin-A; Casoxin-B; Casoplatelin]	Bos taurus (Bovine)	190	UPI0000126FE5	reviewed	1	Residue cell medium containing FBS; Affinity beads background
P67983	MT1A	Metallothionein-1A (MT-1A) (MTC) (Metallothionein-IA) (MT-IA)	Bos taurus (Bovine)	61	UPI000012F6C5	reviewed	1	Residue cell medium containing FBS; Affinity beads background
Q2YDI2	ORC4	Origin recognition complex subunit 4	Bos taurus (Bovine)	436	UPI00005EE029	reviewed	1	Residue cell medium containing FBS; Affinity beads background
P31096	SPP1	Osteopontin (Bone sialoprotein 1) (Secreted phosphoprotein 1) (SPP-1)	Bos taurus (Bovine)	278	UPI000016C265	reviewed	2	Residue cell medium containing FBS; Affinity beads background
P00792	PGA	Pepsin A (EC 3.4.23.1)	Bos taurus (Bovine)	372	UPI000035E445	reviewed	2	Residue cell medium containing FBS; Affinity beads background
P06868	PLG	Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Plasmin heavy chain A, short form; Plasmin light chain B]	Bos taurus (Bovine)	812	UPI0000043BEB	reviewed	2	Residue cell medium containing FBS; Affinity beads background
P02777	PF4	Platelet factor 4 (PF-4) (C-X-C motif chemokine 4)	Bos taurus (Bovine)	88	UPI0000131BE9	reviewed	1	Residue cell medium containing FBS; Affinity beads background
Q29443	TF	Serotransferrin (Transferrin) (Beta-1 metal-binding globulin) (Siderophilin)	Bos taurus (Bovine)	704	UPI000013736D	reviewed	1	Residue cell medium containing FBS; Affinity beads background
Q2HJF0	LOC525947	Serotransferrin-like	Bos taurus (Bovine)	622	UPI00006A861E	unreviewed	1	Residue cell medium containing FBS; Affinity beads background
P21752	TMSB10	Thymosin beta-10 (Thymosin beta-9) [Cleaved into: Thymosin beta-8]	Bos taurus (Bovine)	42	UPI0000167C34	reviewed	2	Residue cell medium containing FBS; Affinity beads background
Q5KR48	TPM2	Tropomyosin beta chain (Beta-tropomyosin) (Tropomyosin-2)	Bos taurus (Bovine)	284	UPI0000022EC8	reviewed	1	Residue cell medium containing FBS; Affinity beads background
A0A3Q1M3L6		Ig-like domain-containing protein	Bos taurus (Bovine)	367	UPI000FC448EF	unreviewed	1	Residue cell medium containing FBS; Affinity beads background
O77727	KRT15	Keratin, type I cytoskeletal 15 (Cytokeratin-15) (CK-15) (Keratin-15) (K15)	Ovis aries (Sheep)	453	UPI00000882FE	reviewed	1	Sheep keratin from wool clothing
P02440		Keratin, high-sulfur matrix protein, B2C	Ovis aries (Sheep)	152	UPI000016C4CD	reviewed	2	Sheep keratin from wool clothing
P02441		Keratin, high-sulfur matrix protein, IIIA3	Ovis aries (Sheep)	131	UPI000012E03F	reviewed	1	Sheep keratin from wool clothing
P02443		Keratin, high-sulfur matrix protein, IIIA3A	Ovis aries (Sheep)	130	UPI000012E03A	reviewed	1	Sheep keratin from wool clothing
P02445		Keratin, high sulfur matrix protein, IIIB4	Ovis aries (Sheep)	98	UPI000012E051	reviewed	1	Sheep keratin from wool clothing
P02534		Keratin, type I microfibrillar 48 kDa, component 8C-1 (Low-sulfur keratin)	Ovis aries (Sheep)	412	UPI000012DAF5	reviewed	2	Sheep keratin from wool clothing
P02539		Keratin, type II microfibrillar (Low-sulfur keratin)	Ovis aries (Sheep)	109	UPI000012DB1E	reviewed	1	Sheep keratin from wool clothing
P08131		Keratin, high-sulfur matrix protein, B2D	Ovis aries (Sheep)	182	UPI000016C4CC	reviewed	2	Sheep keratin from wool clothing
P15241		Keratin, type II microfibrillar, component 7C	Ovis aries (Sheep)	491	UPI000012DB1F	reviewed	1	Sheep keratin from wool clothing
P25690		Keratin, type I microfibrillar, 47.6 kDa (Low-sulfur keratin)	Ovis aries (Sheep)	404	UPI00001774BB	reviewed	2	Sheep keratin from wool clothing
P25691		Keratin, type II microfibrillar, component 5	Ovis aries (Sheep)	502	UPI000012DB20	reviewed	1	Sheep keratin from wool clothing
P26372		Keratin, ultra high-sulfur matrix protein (UHS keratin)	Ovis aries (Sheep)	182	UPI000012E07B	reviewed	1	Sheep keratin from wool clothing
Q02958	KRTAP6-1	Keratin-associated protein 6-1 (Keratin, glycine/tyrosine-rich of hair)	Ovis aries (Sheep)	83	UPI000016C4CA	reviewed	2	Sheep keratin from wool clothing
P22629		Streptavidin	Streptomyces avidinii	183	UPI0000030A9B	reviewed	1	Streptavidin beads
P00761		Trypsin (EC 3.4.21.4)	Sus scrofa (Pig)	231	UPI0000137710	reviewed	1	Enzyme
P21578	luxY	Yellow fluorescent protein (YFP)	Aliivibrio fischeri (Vibrio fischeri)	194	UPI000012E9E4	reviewed	1	YFP Fluorescent Protein
P00651	rntA	Guanyl-specific ribonuclease T1 (RNase T1) (EC 4.6.1.24)	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	130	UPI00001344EA	reviewed	2	Enzyme
AAAAA1	FLAG	FLAG Tag	Synthetic	8			1	FLAG beads
AAAAA2	HA	HA Tag	Synthetic	9			1	HA beads
